player,day,mean,variance,run_number
p,1,-317.82695162053125,3336.8237604179308,0
p,2,-318.50162179028644,3247.434040055746,0
p,3,-318.86030024719355,3163.0180438869024,0
p,4,-319.47953318492375,3083.300663212417,0
p,5,-320.36064919605485,3008.0233062589778,0
p,6,-320.92976249804144,2936.942750499535,0
p,7,-321.1881216748787,2869.8275448309696,0
p,8,-321.1364643006643,2806.4576561129616,0
p,9,-321.35066379065034,2746.624018708004,0
p,10,-321.83138533558,2690.1302484819676,0
p,11,-322.57973371905786,2636.791823132424,0
p,12,-323.59725583335836,2586.4352616445526,0
p,13,-324.8859440988153,2538.897302675161,0
p,14,-325.8725944152003,2494.0240802858,0
p,15,-326.55915145311366,2451.6691833842788,0
p,16,-326.94706447024873,2411.693553407509,0
p,17,-327.0372890209751,2373.965299594526,0
p,18,-327.4059344274435,2338.35944361415,0
p,19,-328.05392466518043,2304.758395466521,0
p,20,-328.4070001428993,2273.051428437593,0
p,21,-328.4660594540273,2243.133636431717,0
p,22,-328.2315143551942,2214.9057297930917,0
p,23,-328.27893662921815,2188.2737759886068,0
p,24,-328.0330725064302,2163.149383568385,0
p,25,-327.4938287475369,2139.4489335677317,0
p,26,-327.23627250810586,2117.0933005819743,0
p,27,-326.6846449228013,2096.008068190318,0
p,28,-325.83834642862485,2076.1227777409595,0
p,29,-324.6962896479246,2057.3706309714357,0
p,30,-323.8325441865742,2039.6881475256641,0
p,31,-323.2459944110034,2023.015637531452,0
p,32,-322.36033726947875,2007.2971161685514,0
p,33,-321.7500676898608,1992.4792654020532,0
p,34,-320.8388437437147,1978.5121620751431,0
p,35,-320.201118761866,1965.348133040253,0
p,36,-319.83615216156136,1952.9426282409265,0
p,37,-319.1680078810206,1941.2541359828524,0
p,38,-318.1958953777215,1930.2429071391389,0
p,39,-317.4941687954204,1919.8707440147662,0
p,40,-317.06198284538124,1910.1021012679887,0
p,41,-316.32329094254027,1900.9040389712795,0
p,42,-315.2771873080159,1892.2447624610918,0
p,43,-313.92225986681194,1884.093424641181,0
p,44,-312.2565890608492,1876.4198731549368,0
p,45,-310.2777464428421,1869.1943424444783,0
p,46,-308.558439515978,1862.3870904032917,0
p,47,-307.0961604733579,1855.9701715641354,0
p,48,-305.8888264564571,1849.9175596662692,0
p,49,-304.35912806417997,1844.205232031984,0
p,50,-303.080525245319,1838.8087119947074,0
p,51,-302.05124447866075,1833.7054315467594,0
p,52,-301.2699202970968,1828.8747908311934,0
p,53,-300.15994526508126,1824.2981880059144,0
p,54,-299.29547252468313,1819.95617298631,0
p,55,-298.67540868929086,1815.8311988070484,0
p,56,-298.29905700399036,1811.9076370194184,0
p,57,-298.16611533617066,1808.1717683551765,0
p,58,-298.2766752980158,1804.6117499016434,0
p,59,-298.6312225129752,1801.2175593655002,0
p,60,-299.2306380225603,1797.9809163541847,0
p,61,-300.07620081389706,1794.8951799736758,0
p,62,-300.59394515837613,1791.95522142899,0
p,63,-301.3606672741655,1789.1546937924697,0
p,64,-301.80227761584837,1786.488686544334,0
p,65,-302.4954511725628,1783.9511790022025,0
p,66,-303.4416282316417,1781.5375123792464,0
p,67,-304.06701819913656,1779.2442526582408,0
p,68,-304.372954355082,1777.066932430985,0
p,69,-304.36024803684245,1775.0001940220122,0
p,70,-304.0291889764302,1773.0378695445052,0
p,71,-303.95519170508203,1771.1729986843097,0
p,72,-304.13844556108324,1769.399857773013,0
p,73,-304.5795614510691,1767.7139213161813,0
p,74,-305.27957341343233,1766.1117923972836,0
