player,day,mean,variance,run_number
p,1,-369.4381006367327,2703.4003059026236,0
p,2,-369.5515047198716,2644.398768476414,0
p,3,-369.85704592240853,2588.0617176166015,0
p,4,-369.98675069626756,2534.2688294814366,0
p,5,-370.3092865918849,2482.9054480350183,0
p,6,-370.82511150043973,2433.861809586346,0
p,7,-371.1664739841401,2387.032788258211,0
p,8,-371.7022651663588,2342.3182338693655,0
p,9,-372.06475426246016,2299.622171343521,0
p,10,-372.62285436692883,2258.853202015654,0
p,11,-373.00885771712507,2219.9236772095674,0
p,12,-373.22328819148464,2182.7501606212595,0
p,13,-373.6349020614537,2147.2532674657446,0
p,14,-374.2442498725881,2113.3568084197295,0
p,15,-374.68367674321973,2080.9876047465423,0
p,16,-374.9537619263114,2050.0760483454546,0
p,17,-375.4233196754374,2020.5559714172496,0
p,18,-376.09296045032346,1992.3637481387748,0
p,19,-376.9635048025483,1965.4381336448278,0
p,20,-377.66757008588365,1939.7200926093863,0
p,21,-378.5744250468013,1915.1534926361844,0
p,22,-379.31672300740536,1891.6841222022233,0
p,23,-379.89535726855917,1869.2604590184862,0
p,24,-380.3110489396751,1847.833591732415,0
p,25,-380.5643481315385,1827.3571359353928,0
p,26,-380.65563488209943,1807.7871455549896,0
p,27,-380.58511980397697,1789.0820204693612,0
p,28,-380.3528444460741,1771.2024109611395,0
p,29,-379.95868136514827,1754.1111194295113,0
p,30,-379.4023339065252,1737.7729995997252,0
p,31,-378.6833356964565,1722.1548533066646,0
p,32,-378.1694634668902,1707.2253247825038,0
p,33,-377.4918810597448,1692.9539595463589,0
p,34,-376.6499941625768,1679.312006505151,0
p,35,-375.64303571556667,1666.2723181827664,0
p,36,-374.4700646731372,1653.8092473925653,0
p,37,-373.1299645221404,1641.8985399656117,0
p,38,-371.98985519287857,1630.5172230505198,0
p,39,-371.0486521656466,1619.6429163310029,0
p,40,-369.93706602587554,1609.2538701353728,0
p,41,-369.0224541694947,1599.3294931819612,0
